O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,CENSUS,WITHD,LST NM,FST NM,
O,62037,ART,139,642,Digital Photography I,3,MW,0130pm,0330pm,FLARMR,RP149,15,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62037,ART,139,642,Digital Photography I,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63673,ART,139,643,Digital Photography I,3,TR,1230PM,0230PM,FLARMR,RP149,15,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63673,ART,139,643,Digital Photography I,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62582,ART,151,631,Painting I,3,F,1200PM,0530PM,FLARMR,RP154,15,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60555,ART,161,631,Ceramics I,3,MW,0900AM,1150AM,FLARMR,RP150,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60558,ART,162,631,Handbuilt Clay I,3,MW,1200PM,0250PM,FLARMR,RP150,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60556,ART,163,621,Handbuilt Clay II,3,MW,1200PM,0250PM,FLARMR,RP150,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63504,ART,164,621,Handbuilt Clay III,3,MW,1200PM,0250PM,FLARMR,RP150,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63150,ART,165,631,Sculpture I,3,TR,1200PM,0250PM,FLARMR,RP150,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63932,ART,221,631,Drawing II,3,TR,0600PM,0850PM,FLARMR,RP154,19,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63933,ART,222,621,Drawing III,3,TR,0600PM,0850PM,FLARMR,RP154,19,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63934,ART,223,621,Drawing IV,3,TR,0600PM,0850PM,FLARMR,RP154,19,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64453,ART,228,621,Advanced Figure Drawing,3,MW,0300PM,0550PM,FLARMR,RP154,19,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63149,ART,229,621,Printmaking II,3,F,1200PM,0530PM,FLARMR,RP153,15,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63940,ART,230,601,Color Theory,3,TR,0300PM,0550PM,FLARMR,RP153,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64333,ART,233,621,Jewelry and Metalwork II,3,MW,0600PM,0850PM,FLARMR,RP150,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
C,65015,ART,233,632,Jewelry and Metalwork II,3,MW,0600PM,0850PM,FLARMR,RP150,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64334,ART,234,621,Jewelry and Metalwork III,3,MW,0600PM,0850PM,FLARMR,RP150,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64335,ART,235,621,Jewelry and Metalwork IV,3,MW,0600PM,0850PM,FLARMR,RP150,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
