O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,LST NM,FST NM
O,65073,MAT,092,632,Quant Lab,1,MTWRF,1120AM,1140AM,FLARMR,CP129,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,64172,MAT,093,603     631,Algebra Lab,1,MW          MWF,0600PM     1040AM,0650PM     1115AM,FLARMR,CP223,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63362,MAT,093,631     632,Algebra Lab,1,MTWRF,1110AM     0135PM,1130AM     0155PM,FLARMR,CP223,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63363,MAT,093,632     633,Algebra Lab,1,MTWRF,1230PM     0300PM,1250PM     0320PM,FLARMR,CP223,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61364,MAT,103,601,Math for Clinical Calculations,3,TR,1030AM,1145AM,FLARMR,CP224,30,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,61365,MAT,103,602,Math for Clinical Calculations,3,TR,0100PM,0215PM,FLARMR,CP224,30,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,63778,MAT,107,601,Career Math,3,MW          TR,1100AM     1200PM,1215PM     0115PM,FLARMR,CP129,30,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,61863,MAT,107,602,Career Math,3,TR,0430PM     0530PM,0545PM     0645PM,FLARMR,CP129,30,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,61005,MAT,120,601,Math for Liberal Arts: MA1,4,MWF           MW,0720AM     0200PM,0830AM     0350PM,FLARMR,CP129,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63106,MAT,120,602,Math for Liberal Arts: MA1,4,TR,1100AM     0700PM,1250PM     0850PM,FLARMR,CP129,30,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,64590,MAT,120,603     632,Math for Liberal Arts: MA1,4,MW          MTWRF,0730PM     1030AM,0920PM     1110AM,FLARMR,CP129,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61006,MAT,121,601,College Algebra : MA1,4,MWF,0720AM     0800AM,0830AM     0910AM,FLARMR,CP223,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61009,MAT,121,604     602,College Algebra : MA1,4,MWF          TR,0100PM0800AM,0210PM     0950AM,FLARMR,CP223,30,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,61012,MAT,121,605     603,College Algebra : MA1,4,MWF          TR,0220PM     1000AM,0330PM     1150AM,FLARMR,CP223,30,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,61015,MAT,121,606     604,College Algebra : MA1,4,TR          MWF,0720AM     1125AM,0910AM     1235PM,FLARMR,CP223,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61016,MAT,121,607     605,College Algebra : MA1,4,TR          MW,0100PM     0330PM,0250PM     0520PM,FLARMR,CP223,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61017,MAT,121,608     606,College Algebra : MA1,4,TR,0300PM     0330PM,0450PM     0520PM,FLARMR,CP223,30,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,61018,MAT,121,609     607,College Algebra : MA1,4,MW,0700PM     0530PM,0850PM     0720PM,FLARMR,CP223,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61019,MAT,121,610     608,College Algebra : MA1,4,TR,0500PM     0530PM,0650PM     0720PM,FLARMR,CP223,30,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,62522,MAT,121,611     609,College Algebra : MA1,4,MWF          MW,0840AM     0730PM,0950AM     0920PM,FLARMR,CP223,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61020,MAT,121,612     610,College Algebra : MA1,4,MW          MWF,0530PM     0830AM,0735PM     1000AM,FLARMR,BP105,12,12-Feb-19     13-Feb-19,13-May-19,24-Feb-19,24-Apr-19
O,61021,MAT,121,613     631,College Algebra : MA1,4,TR          MWF,0700PM     0920AM,0850PM     1030AM,FLARMR,CP223,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61007,MAT,121,632,College Algebra : MA1,4,MTWRF,1020AM     1245PM,1100AM     0125PM,FLARMR,CP223,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61008,MAT,121,633,College Algebra : MA1,4,MTWRF,1140AM     0210PM,1220PM     0250PM,FLARMR,CP223,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61028,MAT,122,601,College Trigonometry: MA1,3,TR,0600PM     0230PM,0715PM     0345PM,FLARMR,CP129     CP224,30,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,61030,MAT,125,601,Survey of Calculus: MA1,4,MWF,0840AM     0800AM,0950AM     0910AM,FLARMR,CP129,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61031,MAT,125,602,Survey of Calculus: MA1,4,MWF          TR,1225PM     0300PM,0135PM     0450PM,FLARMR,CP129,30,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,61032,MAT,125,603,Survey of Calculus: MA1,4,TR          MW,0730PM     0700PM,0920PM     0850PM,FLARMR,CP129,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61037,MAT,135,602     601,Intro to Statistics: MA1,3,TR,0830AM     0800AM,0945AM     0915AM,FLARMR,CP129,30,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,63120,MAT,135,603     602,Intro to Statistics: MA1,3,TR,0100PM     0130PM,0215PM     0245PM,FLARMR,CP129,30,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,64591,MAT,135,604     603,Intro to Statistics: MA1,3,MW,0600PM     0530PM,0715PM    0645PM,FLARMR,CP129,30,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
