O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,LST NM,FST NM
O,61641,CRJ,110,601,Intro to Criminal Justice SS3,3,TR,0835AM,0950AM,FLARMR,CP122,20,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,60767,CRJ,110,602,Intro to Criminal Justice SS3,3,MW,0240PM,0355PM,FLARMR,LBP111,22,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,62523,CRJ,110,603,Intro to Criminal Justice SS3,3,TR,1010AM,1125AM,FLARMR,LBP111,22,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63400,CRJ,145,601,Correctional Process,3,MWF,1010AM,1100AM,FLARMR,LBP111,22,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,62373,CRJ,209,601,Criminal Investigation I,3,TR,0240PM,0355PM,FLARMR,LBP111,22,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63040,CRJ,268,601,Criminal Profiling,3,MWF,1110AM,1200PM,FLARMR,LBP111,22,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
