60863,BIO,202,601,Human Anatomy&Phys II/Lab :SC1,4,TR MW,0900AM 0830AM,1140AM 1110AM,SP104,24,22-Jan-19,13-May-19,STAFF,
60864,BIO,202,602,Human Anatomy&Phys II/Lab :SC1,4,MW MWF,1230PM 1120AM,0310PM 0120PM,SP104,24,22-Jan-19,13-May-19,STAFF,
61624,BIO,202,603,Human Anatomy&Phys II/Lab :SC1,4,TR MWF,0330PM 0130PM,0610PM 0330PM,SP104,24,22-Jan-19,13-May-19,STAFF,
61805,BIO,202,604,Human Anatomy&Phys II/Lab :SC1,4,TR MW,0630PM 0600PM,0910PM 0840PM,SP104,24,22-Jan-19,13-May-19,STAFF,
64207,BIO,202,605,Human Anatomy&Phys II/Lab :SC1,4,MW TR,0900AM 0830AM,1140AM 1110AM,SP104,24,22-Jan-19,13-May-19,STAFF,
63472,BIO,202,63A,Human Anatomy&Phys II/Lab :SC1,4,TR,1230PM 1130AM,0310PM 0210PM,SP104,24,19-Mar-19,13-May-19,STAFF,
60892,BIO,202,641,Human Anatomy&Phys II/Lab :SC1,4,F,1200PM 0830AM,0240PM 1110AM,SP104,24,22-Jan-19,13-May-19,STAFF,
60892,BIO,202,641,Human Anatomy&Phys II/Lab :SC1,4,,,,ONLINE,,22-Jan-19,13-May-19,STAFF,
62343,BIO,203,601,Advanced Human Anatomy,2,T,1100AM 1200PM,0300PM 0400PM,SP106,4,22-Jan-19,13-May-19,STAFF,
62427,BIO,203,602,Advanced Human Anatomy,2,F,0900AM,0100PM,SP106,4,22-Jan-19,13-May-19,STAFF,
60893,BIO,204,601,Microbiology w/Lab: SC1,4,TR,0900AM,1140AM,SP125,24,22-Jan-19,13-May-19,Smith,Heidi
60894,BIO,204,602,Microbiology w/Lab: SC1,4,TR,1200PM,0240PM,SP125,24,22-Jan-19,13-May-19,STAFF,
62346,BIO,204,603,Microbiology w/Lab: SC1,4,TR,0300PM,0540PM,SP125,24,22-Jan-19,13-May-19,STAFF,
63334,BIO,204,604,Microbiology w/Lab: SC1,4,TR,0600PM,0840PM,SP125,24,22-Jan-19,13-May-19,STAFF,
61806,BIO,204,641,Microbiology w/Lab: SC1,4,W,1200PM,0250PM,SP125,24,22-Jan-19,13-May-19,Smith,Heidi
61806,BIO,204,641,Microbiology w/Lab: SC1,4,,,,ONLINE,,22-Jan-19,13-May-19,Smith,Heidi
64210,BIO,211,601,Cell Biology w/ Lab,5,F,0830AM,1120AM,SP125,20,22-Jan-19,13-May-19,Romero/ Stratford,Chris/ Suzanne
64210,BIO,211,601,Cell Biology w/ Lab,5,MW,0830AM,1020AM,SP125,20,22-Jan-19,13-May-19,Romero/ Stratford,Chris/ Suzanne
61625,BIO,216,601,Pathophysiology,4,MW,0330PM 0345PM,0530PM 0545PM,SP104,24,22-Jan-19,13-May-19,STAFF,
61903,BIO,216,641,Pathophysiology,4,W T,0600PM 0220PM,0800PM 0420PM,SP104,24,22-Jan-19,13-May-19,STAFF,
